Ingredient code,Ingredient description_x,Ingredient weight (g)_x,Ingredient_subcode,Ingredient description_y,Ingredient weight (g)_y
51101010,"Bread, white, toasted",100,18069,"Bread, white, commercially prepared (includes soft bread crumbs)",100
14650100,Cheese sauce,64,1025,"Cheese, monterey",15
14650100,Cheese sauce,64,4044,"Oil, soybean, salad or cooking",50
14650100,Cheese sauce,64,4518,"Oil, corn, industrial and retail, all purpose salad or cooking",10
14650100,Cheese sauce,64,4582,"Oil, canola",15
14650100,Cheese sauce,64,4053,"Oil, olive, salad or cooking",25
14650100,Cheese sauce,64,20081,"Wheat flour, white, all-purpose, enriched, bleached",17
14650100,Cheese sauce,64,14411,"Beverages, water, tap, drinking",115
14650100,Cheese sauce,64,2047,"Salt, table, iodized",2.7
14650100,Cheese sauce,64,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",35
14650100,Cheese sauce,64,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",37
14650100,Cheese sauce,64,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",17
14650100,Cheese sauce,64,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",11
81102000,"Margarine, NFS",7,4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",65
81102000,"Margarine, NFS",7,4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",35
24152231,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",30,5098,"Chicken, broilers or fryers, thigh, meat only, cooked, roasted",100
24152231,"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",30,2047,"Salt, table, iodized",0.6
24142301,"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw",20,5073,"Chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, roasted",100
24142301,"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw",20,2047,"Salt, table, iodized",0.6
51107040,"Bread, French or Vienna, toasted",472,18029,"Bread, french or vienna (includes sourdough)",100
42110160,"Mixed nuts, without peanuts, unsalted",49,12063,"Nuts, almonds, dry roasted, without salt added",30
42110160,"Mixed nuts, without peanuts, unsalted",49,12085,"Nuts, cashew nuts, dry roasted, without salt added",30
